,timeSeconds,frameNum,blobCount,trackCount,car,carAccumulative,person,personAccumulative,truck,truckAccumulative,bus,busAccumulative,motorbike,motorbikeAccumulative,TOTAL,TOTALAccumulative,Time
0,324,3574,3,3,3,195,0,111,0,80,0.0,26.0,0.0,6.0,3,418,7:0:0
1,324,3574,2,2,2,232,0,140,0,75,0.0,18.0,0.0,9.0,2,474,7:5:0
2,324,3574,2,2,1,249,1,124,0,86,0.0,20.0,0.0,8.0,2,487,7:10:0
3,324,3574,3,3,2,203,0,148,1,99,0.0,21.0,0.0,8.0,3,479,7:15:0
4,324,3574,3,3,2,190,0,128,1,84,0.0,19.0,0.0,10.0,3,431,7:20:0
5,324,3574,3,3,3,219,0,148,0,77,0.0,18.0,0.0,17.0,3,479,7:25:0
6,324,3574,6,6,4,183,1,175,1,72,0.0,15.0,0.0,35.0,6,480,7:30:0
7,324,3574,15,15,13,353,2,164,0,49,0.0,15.0,0.0,28.0,15,609,7:35:0
8,324,3574,16,16,7,382,5,248,3,40,0.0,1.0,1.0,65.0,16,736,7:40:0
9,324,3574,12,12,11,442,1,399,0,39,0.0,1.0,0.0,123.0,12,1004,7:45:0
10,324,3574,15,15,9,365,5,245,0,64,0.0,8.0,1.0,80.0,15,762,7:50:0
11,324,3574,18,18,12,519,2,212,1,75,0.0,3.0,3.0,99.0,18,908,7:55:0
12,324,3574,13,13,8,407,4,234,1,85,0.0,17.0,0.0,86.0,13,829,8:0:0
13,324,3574,18,18,13,449,2,271,0,35,0.0,2.0,3.0,131.0,18,888,8:5:0
14,324,3574,15,15,7,465,4,271,2,58,0.0,6.0,2.0,110.0,15,910,8:10:0
15,324,3574,14,14,9,391,1,265,2,46,1.0,6.0,1.0,77.0,14,785,8:15:0
16,324,3574,15,15,9,401,5,280,0,41,0.0,5.0,1.0,108.0,15,835,8:20:0
17,324,3574,17,17,12,432,1,258,2,50,0.0,1.0,2.0,100.0,17,841,8:25:0
18,324,3574,19,19,17,491,1,271,0,24,1.0,3.0,0.0,93.0,19,882,8:30:0
19,324,3574,13,13,9,403,1,262,0,91,2.0,22.0,1.0,83.0,13,861,8:35:0
20,324,3574,11,11,7,347,2,256,1,76,0.0,9.0,1.0,93.0,11,781,8:40:0
21,324,3574,15,15,8,374,3,219,2,63,0.0,5.0,2.0,97.0,15,758,8:45:0
22,324,3574,11,11,8,409,1,250,2,57,0.0,2.0,0.0,90.0,11,808,8:50:0
23,324,3574,13,13,11,382,0,238,1,103,0.0,13.0,1.0,101.0,13,837,8:55:0
24,325,3585,16,16,4,405,6,290,1,85,0.0,12.0,5.0,82.0,16,874,9:0:0
25,325,3585,13,13,6,377,3,178,3,103,0.0,1.0,1.0,80.0,13,739,9:5:0
26,325,3585,21,21,10,476,8,333,1,27,,,2.0,112.0,21,948,9:10:0
27,325,3585,15,15,10,412,3,268,2,66,0.0,2.0,0.0,74.0,15,822,9:15:0
28,325,3585,15,15,8,357,4,278,0,91,0.0,3.0,3.0,99.0,15,828,9:20:0
29,325,3585,19,19,14,367,3,215,1,85,0.0,7.0,1.0,80.0,19,754,9:25:0
30,325,3585,17,17,10,372,3,325,2,98,1.0,3.0,1.0,120.0,17,918,9:30:0
31,325,3585,13,13,9,387,2,229,1,87,0.0,1.0,1.0,80.0,13,784,9:35:0
32,325,3585,16,16,10,319,3,332,0,62,1.0,3.0,2.0,109.0,16,825,9:40:0
33,325,3585,16,16,6,376,2,260,5,137,1.0,5.0,2.0,123.0,16,901,9:45:0
34,325,3585,19,19,8,348,3,285,2,131,0.0,7.0,6.0,160.0,19,931,9:50:0
35,325,3585,15,15,7,382,4,296,1,109,0.0,7.0,3.0,130.0,15,924,9:55:0
36,325,3585,16,16,10,291,2,242,0,69,1.0,4.0,3.0,81.0,16,687,10:0:0
37,325,3585,14,14,8,277,3,365,1,54,0.0,3.0,2.0,147.0,14,846,10:5:0
38,325,3585,16,16,9,361,6,322,0,23,1.0,1.0,0.0,128.0,16,835,10:10:0
39,325,3585,16,16,9,387,4,298,0,52,1.0,1.0,2.0,113.0,16,851,10:15:0
40,325,3585,14,14,9,334,1,280,1,120,1.0,2.0,2.0,111.0,14,847,10:20:0
41,325,3585,20,20,11,352,6,263,1,86,2.0,10.0,0.0,124.0,20,835,10:25:0
42,325,3585,18,18,12,371,5,292,0,72,1.0,3.0,0.0,121.0,18,859,10:30:0
43,325,3585,11,11,8,457,1,231,1,110,1.0,6.0,0.0,102.0,11,906,10:35:0
44,325,3585,4,4,4,171,0,185,0,70,0.0,19.0,0.0,52.0,4,497,10:40:0
45,325,3585,2,2,1,168,0,176,0,75,0.0,15.0,1.0,67.0,2,501,10:45:0
46,325,3585,4,4,3,154,0,222,1,71,0.0,18.0,0.0,46.0,4,511,10:50:0
47,325,3585,2,2,1,110,1,145,0,70,0.0,19.0,0.0,35.0,2,379,10:55:0
48,321,3535,3,3,0,159,1,150,1,73,0.0,21.0,1.0,47.0,3,450,11:0:0
49,321,3535,2,2,2,192,0,171,0,84,0.0,28.0,0.0,46.0,2,521,11:5:0
50,321,3535,0,0,0,153,0,146,0,60,0.0,11.0,0.0,47.0,0,417,11:10:0
51,321,3535,1,1,1,164,0,133,0,71,0.0,19.0,0.0,55.0,1,442,11:15:0
52,321,3535,1,1,1,183,0,169,0,67,0.0,25.0,0.0,39.0,1,483,11:20:0
53,321,3535,1,1,1,132,0,155,0,53,0.0,27.0,0.0,37.0,1,404,11:25:0
54,321,3535,1,1,1,156,0,155,0,89,0.0,23.0,0.0,31.0,1,454,11:30:0
55,321,3535,7,7,3,198,0,159,2,78,2.0,37.0,0.0,37.0,7,509,11:35:0
56,321,3535,1,1,0,190,0,156,1,87,0.0,30.0,0.0,45.0,1,508,11:40:0
57,321,3535,4,4,3,161,1,201,0,61,0.0,17.0,0.0,61.0,4,501,11:45:0
58,321,3535,3,3,2,155,0,186,0,50,0.0,24.0,1.0,28.0,3,443,11:50:0
59,321,3535,3,3,3,169,0,179,0,60,0.0,29.0,0.0,33.0,3,470,11:55:0
60,321,3535,4,4,3,137,0,147,1,62,0.0,24.0,0.0,44.0,4,414,12:0:0
61,321,3535,2,2,2,132,0,163,0,68,0.0,15.0,0.0,20.0,2,398,12:5:0
62,321,3535,1,1,0,163,0,207,1,61,0.0,33.0,0.0,33.0,1,497,12:10:0
63,321,3535,2,2,1,130,0,169,1,36,0.0,17.0,0.0,19.0,2,371,12:15:0
64,321,3535,5,5,4,154,0,165,1,58,0.0,8.0,0.0,49.0,5,434,12:20:0
65,321,3535,2,2,1,155,1,199,0,56,0.0,23.0,0.0,18.0,2,451,12:25:0
66,321,3535,1,1,1,127,0,111,0,45,0.0,8.0,0.0,24.0,1,315,12:30:0
67,321,3535,1,1,1,141,0,134,0,73,0.0,9.0,0.0,42.0,1,399,12:35:0
68,321,3535,0,0,0,220,0,260,0,85,0.0,34.0,0.0,46.0,0,645,12:40:0
69,321,3535,3,3,1,144,1,168,1,58,0.0,14.0,0.0,15.0,3,399,12:45:0
70,321,3535,1,1,1,133,0,181,0,50,0.0,8.0,0.0,32.0,1,404,12:50:0
71,321,3535,3,3,2,160,1,153,0,70,0.0,32.0,0.0,8.0,3,423,12:55:0
72,324,3566,4,4,3,168,1,198,0,64,0.0,20.0,0.0,7.0,4,457,13:0:0
73,324,3566,2,2,1,145,0,181,0,51,1.0,20.0,0.0,6.0,2,403,13:5:0
74,324,3566,1,1,0,152,0,180,1,49,0.0,13.0,0.0,9.0,1,403,13:10:0
75,324,3566,3,3,1,146,1,186,0,72,1.0,23.0,0.0,8.0,3,435,13:15:0
76,324,3566,2,2,1,165,1,188,0,79,0.0,24.0,0.0,16.0,2,472,13:20:0
77,324,3566,2,2,2,177,0,188,0,75,0.0,25.0,0.0,4.0,2,469,13:25:0
78,324,3566,3,3,3,139,0,156,0,64,0.0,18.0,0.0,4.0,3,381,13:30:0
79,324,3566,2,2,1,156,1,147,0,76,0.0,20.0,0.0,2.0,2,401,13:35:0
80,324,3566,0,0,0,164,0,166,0,89,0.0,20.0,0.0,2.0,0,441,13:40:0
81,324,3566,1,1,1,149,0,191,0,84,0.0,15.0,0.0,8.0,1,447,13:45:0
82,324,3566,3,3,2,158,0,184,1,82,0.0,27.0,0.0,15.0,3,466,13:50:0
83,324,3566,3,3,2,173,0,165,1,74,0.0,20.0,0.0,12.0,3,444,13:55:0
84,324,3566,4,4,2,165,2,137,0,86,0.0,19.0,0.0,22.0,4,429,14:0:0
85,324,3566,0,0,0,183,0,128,0,106,0.0,29.0,0.0,1.0,0,447,14:5:0
86,324,3566,4,4,2,159,1,138,1,88,0.0,16.0,0.0,1.0,4,402,14:10:0
87,324,3566,2,2,1,162,0,166,1,70,0.0,22.0,0.0,1.0,2,421,14:15:0
88,324,3566,2,2,2,197,0,127,0,92,0.0,25.0,0.0,1.0,2,442,14:20:0
89,324,3566,1,1,0,170,0,108,1,93,0.0,25.0,0.0,2.0,1,398,14:25:0
90,324,3566,2,2,2,166,0,115,0,88,0.0,23.0,0.0,5.0,2,397,14:30:0
91,324,3566,1,1,1,182,0,106,0,113,0.0,21.0,0.0,2.0,1,424,14:35:0
92,324,3566,2,2,2,160,0,114,0,86,0.0,17.0,0.0,1.0,2,378,14:40:0
93,324,3566,1,1,1,178,0,85,0,97,0.0,21.0,0.0,4.0,1,385,14:45:0
94,324,3566,4,4,2,163,1,98,1,71,0.0,19.0,0.0,1.0,4,352,14:50:0
95,324,3566,3,3,2,163,0,114,1,73,0.0,17.0,0.0,5.0,3,372,14:55:0
96,325,3577,1,1,1,169,0,114,0,84,0.0,19.0,,,1,386,15:0:0
97,325,3577,2,2,1,190,0,71,0,95,1.0,23.0,0.0,1.0,2,380,15:5:0
98,325,3577,2,2,1,209,0,116,0,78,1.0,25.0,0.0,2.0,2,430,15:10:0
99,325,3577,4,4,4,204,0,131,0,70,0.0,27.0,0.0,1.0,4,433,15:15:0
100,325,3577,3,3,1,209,0,103,2,83,0.0,22.0,,,3,417,15:20:0
101,325,3577,0,0,0,218,0,101,0,76,0.0,23.0,0.0,2.0,0,420,15:25:0
102,325,3577,0,0,0,165,0,85,0,63,0.0,20.0,0.0,2.0,0,335,15:30:0
103,325,3577,2,2,2,185,0,88,0,65,0.0,17.0,0.0,2.0,2,357,15:35:0
104,325,3577,2,2,1,218,0,112,1,89,0.0,24.0,0.0,8.0,2,451,15:40:0
105,325,3577,2,2,1,207,0,84,0,72,1.0,18.0,0.0,13.0,2,394,15:45:0
106,325,3577,11,11,10,314,0,59,0,58,1.0,32.0,0.0,1.0,11,464,15:50:0
107,325,3577,2,2,1,379,0,50,1,48,0.0,31.0,0.0,2.0,2,510,15:55:0
108,325,3577,10,10,9,378,0,73,1,50,0.0,23.0,0.0,1.0,10,525,16:0:0
109,325,3577,13,13,11,355,1,75,1,47,0.0,17.0,,,13,494,16:5:0
110,325,3577,11,11,10,293,0,37,1,86,0.0,39.0,0.0,1.0,11,456,16:10:0
111,325,3577,9,9,8,382,0,51,1,49,0.0,30.0,,,9,512,16:15:0
112,325,3577,16,16,15,422,0,49,0,44,1.0,25.0,,,16,540,16:20:0
113,325,3577,6,6,5,305,0,46,0,59,1.0,31.0,0.0,1.0,6,442,16:25:0
114,325,3577,12,12,11,291,0,59,0,31,1.0,18.0,0.0,1.0,12,400,16:30:0
115,325,3577,16,16,15,335,0,72,0,60,1.0,32.0,0.0,2.0,16,501,16:35:0
116,325,3577,12,12,9,437,0,62,2,59,1.0,39.0,0.0,3.0,12,600,16:40:0
117,325,3577,15,15,9,363,3,78,1,40,2.0,19.0,0.0,1.0,15,501,16:45:0
118,325,3577,9,9,5,290,0,61,3,72,1.0,31.0,0.0,5.0,9,459,16:50:0
119,325,3577,11,11,11,309,0,75,0,50,0.0,15.0,0.0,1.0,11,450,16:55:0
